AFFECTATION_STEP;FLOW_STEP;TIME;RESERVOIR;MODE;SPEED;ACCUMULATION
0;0;07:01:00.00;RES;CAR;18.31558768210696;4
0;1;07:02:00.00;RES;CAR;18.26239311358023;32
0;2;07:03:00.00;RES;CAR;18.21124467290943;59
0;3;07:04:00.00;RES;CAR;18.160239486354715;86
0;4;07:05:00.00;RES;CAR;18.096213891461215;120
0;5;07:06:00.00;RES;CAR;18.038034365226448;151
0;6;07:07:00.00;RES;CAR;17.970705738139486;187
0;7;07:08:00.00;RES;CAR;17.9483187555747;199
0;8;07:09:00.00;RES;CAR;17.918512821676583;215
0;9;07:10:00.00;RES;CAR;17.896190858367458;227
1;0;07:11:00.00;RES;CAR;17.844214357940288;255
1;1;07:12:00.00;RES;CAR;17.78130293870858;289
1;2;07:13:00.00;RES;CAR;17.716772856826275;324
1;3;07:14:00.00;RES;CAR;17.661647783220346;354
1;4;07:15:00.00;RES;CAR;17.56650365740828;406
1;5;07:16:00.00;RES;CAR;17.52094390250961;431
1;6;07:17:00.00;RES;CAR;17.466428143343066;461
1;7;07:18:00.00;RES;CAR;17.397618285312646;499
1;8;07:19:00.00;RES;CAR;17.318282304650957;543
1;9;07:20:00.00;RES;CAR;17.303896498801834;551
2;0;07:21:00.00;RES;CAR;17.275160726819685;567
2;1;07:22:00.00;RES;CAR;17.24647267499071;583
2;2;07:23:00.00;RES;CAR;17.298504902970404;554
2;3;07:24:00.00;RES;CAR;17.314684732344187;545
2;4;07:25:00.00;RES;CAR;17.34348624917401;529
2;5;07:26:00.00;RES;CAR;17.37594522567339;511
2;6;07:27:00.00;RES;CAR;17.357904968445986;521
2;7;07:28:00.00;RES;CAR;17.38497238410714;506
2;8;07:29:00.00;RES;CAR;17.386778378491123;505
2;9;07:30:00.00;RES;CAR;17.36511882265125;517
3;0;07:31:00.00;RES;CAR;17.366922754597645;516
3;1;07:32:00.00;RES;CAR;17.383166577314878;507
3;2;07:33:00.00;RES;CAR;17.37955552642759;509
3;3;07:34:00.00;RES;CAR;17.34348624917401;529
3;4;07:35:00.00;RES;CAR;17.329079507123122;537
3;5;07:36:00.00;RES;CAR;17.305694070820206;550
3;6;07:37:00.00;RES;CAR;17.287726750569043;560
3;7;07:38:00.00;RES;CAR;17.30209911350034;552
3;8;07:39:00.00;RES;CAR;17.278750086994968;565
3;9;07:40:00.00;RES;CAR;17.300301914896327;553
4;0;07:41:00.00;RES;CAR;17.300301914896327;553
4;1;07:42:00.00;RES;CAR;17.309289775085173;548
4;2;07:43:00.00;RES;CAR;17.298504902970404;554
4;3;07:44:00.00;RES;CAR;17.28593104484693;561
4;4;07:45:00.00;RES;CAR;17.260810740842054;575
4;5;07:46:00.00;RES;CAR;17.25184805342387;580
4;6;07:47:00.00;RES;CAR;17.24647267499071;583
4;7;07:48:00.00;RES;CAR;17.232146519363948;591
4;8;07:49:00.00;RES;CAR;17.244681254399932;584
4;9;07:50:00.00;RES;CAR;17.2626038370042;574
5;0;07:51:00.00;RES;CAR;17.278750086994968;565
5;1;07:52:00.00;RES;CAR;17.330879695215344;536
5;2;07:53:00.00;RES;CAR;17.347089805738708;527
5;3;07:54:00.00;RES;CAR;17.377750282293597;510
5;4;07:55:00.00;RES;CAR;17.377750282293597;510
5;5;07:56:00.00;RES;CAR;17.370531180700784;514
5;6;07:57:00.00;RES;CAR;17.37594522567339;511
5;7;07:58:00.00;RES;CAR;17.386778378491123;505
5;8;07:59:00.00;RES;CAR;17.390390930112208;503
5;9;08:00:00.00;RES;CAR;17.36511882265125;517
6;0;08:01:00.00;RES;CAR;17.35249654450652;524
6;1;08:02:00.00;RES;CAR;17.368726873941004;515
6;2;08:03:00.00;RES;CAR;17.366922754597645;516
6;3;08:04:00.00;RES;CAR;17.363315078082348;518
6;4;08:05:00.00;RES;CAR;17.34348624917401;529
6;5;08:06:00.00;RES;CAR;17.303896498801834;551
